call,spy,iv,sofr1m,sofr1m50,sofr3m,sofr3m50,sofr3m200,sofr6m,sofr6m50,sofr6m200,sofr12m,sofr12m50,sofr12m200,baseprice,50price,100price,250price,500price,750price,1000price,sofr12mprice,sofr6mprice,sofr3mprice,sofr1mprice,hvol6price,hvol3price,hvol1price,ivolprice,error
9.92,451.19,11.906,5.32887,5.26399,5.4023,5.34353,4.969,5.45324,5.41867,5.0677,5.36866,5.35996,5.0191,3.09,1.91,2.02,2.36,3.09,3.86,4.77,3.09,3.1,3.09,3.09,4.42,3.92,3.5,2.76,-6.83
8.8,449.24,11.833,5.32762,5.26887,5.39108,5.34658,4.9746,5.43212,5.42073,5.0722,5.32571,5.36081,5.022,3.0,1.76,1.91,2.25,3.0,3.79,4.74,3.01,3.01,3.01,3.0,4.24,3.78,3.38,2.67,-5.800000000000001
7.36,446.22,11.91,5.32684,5.27366,5.39773,5.34984,4.9801,5.45272,5.42338,5.0765,5.38895,5.36343,5.0251,2.97,1.69,1.82,2.2,2.97,3.74,4.73,2.97,2.97,2.97,2.97,4.14,3.73,3.35,2.65,-4.390000000000001
6.56,444.85,11.918,5.32933,5.27814,5.41099,5.35327,4.9857,5.47601,5.42641,5.0809,5.43272,5.36682,5.028,2.91,1.64,1.77,2.14,2.91,3.71,4.72,2.91,2.92,2.91,2.91,4.1,3.66,3.28,2.59,-3.6499999999999995
6.66,445.52,11.794,5.32946,5.28268,5.41047,5.35665,4.9912,5.47197,5.42912,5.0851,5.42392,5.36931,5.0308,2.85,1.57,1.7,2.09,2.85,3.66,4.71,2.85,2.85,2.85,2.85,4.01,3.6,3.21,2.59,-3.81
7.58,448.45,11.407,5.32833,5.28698,5.40525,5.35982,4.9964,5.46285,5.43146,5.0892,5.40359,5.3714,5.0333,2.83,1.53,1.64,2.03,2.83,3.64,4.71,2.83,2.83,2.83,2.83,3.94,3.54,3.17,2.35,-4.75
6.31,445.99,11.555,5.33356,5.29084,5.40822,5.36261,5.0015,5.47121,5.43307,5.093,5.42131,5.37189,5.0358,2.76,1.46,1.58,1.97,2.76,3.61,4.7,2.76,2.76,2.76,2.76,3.86,3.48,3.09,2.52,-3.55
6.3,446.51,11.362,5.3322,5.29463,5.40943,5.36543,5.0065,5.4735,5.43492,5.0968,5.43164,5.37309,5.0383,2.75,1.4,1.52,1.92,2.75,3.57,4.7,2.76,2.76,2.76,2.75,3.78,3.41,3.06,2.32,-3.55
7.76,450.36,11.245,5.33057,5.29834,5.41009,5.36809,5.0115,5.47767,5.43684,5.1007,5.43665,5.37412,5.0409,2.67,1.36,1.48,1.87,2.67,3.53,4.68,2.67,2.67,2.67,2.67,3.72,3.35,2.99,2.32,-5.09
5.25,443.37,11.198,5.32708,5.30158,5.40168,5.37051,5.0165,5.46584,5.43853,5.1046,5.42144,5.37499,5.0436,2.65,1.3,1.41,1.82,2.65,3.53,4.68,2.67,2.67,2.67,2.65,3.64,3.28,2.96,2.31,-2.6
5.24,443.63,11.274,5.32484,5.30454,5.39785,5.3725,5.0214,5.46606,5.43955,5.1085,5.44294,5.37476,5.0463,2.58,1.26,1.35,1.77,2.58,3.52,4.67,2.58,2.59,2.58,2.58,3.57,3.2,2.88,2.3,-2.66
4.88,442.71,11.291,5.32409,5.30715,5.39702,5.37445,5.0262,5.46857,5.44085,5.1122,5.45434,5.37568,5.049,2.56,1.2,1.31,1.73,2.56,3.51,4.66,2.56,2.57,2.56,2.56,3.49,3.15,2.85,2.29,-2.32
3.51,438.64,11.33,5.32345,5.30969,5.39613,5.37635,5.031,5.46905,5.44218,5.1162,5.45886,5.37715,5.0522,2.52,1.13,1.24,1.69,2.52,3.5,4.65,2.52,2.52,2.52,2.52,3.44,3.08,2.75,2.29,-0.9899999999999998
2.08,431.39,11.967,5.31972,5.31204,5.40009,5.37813,5.0357,5.47283,5.44342,5.1201,5.46596,5.3788,5.0553,2.48,1.07,1.19,1.63,2.48,3.49,4.64,2.48,2.48,2.48,2.48,3.35,3.04,2.74,2.34,0.3999999999999999
1.85,430.42,12.059,5.31751,5.31395,5.39981,5.37997,5.0404,5.47951,5.44515,5.1239,5.48563,5.38198,5.0583,2.46,1.02,1.14,1.59,2.46,3.49,4.63,2.46,2.46,2.46,2.46,3.29,2.96,2.67,2.31,0.6099999999999999
2.02,432.23,11.872,5.31745,5.3157,5.39112,5.38159,5.045,5.46926,5.44703,5.1276,5.46688,5.38624,5.0612,2.4,0.97,1.09,1.55,2.4,3.48,4.63,2.4,2.41,2.4,2.4,3.21,2.88,2.64,2.31,0.3799999999999999
1.33,425.88,12.895,5.31843,5.31715,5.38558,5.3829,5.0495,5.46327,5.44837,5.1313,5.45973,5.38958,5.0643,2.4,0.9,1.02,1.51,2.4,3.46,4.61,2.4,2.4,2.4,2.4,3.15,2.84,2.58,2.4,1.0699999999999998
1.17,426.05,12.534,5.31608,5.31838,5.39008,5.38418,5.054,5.46749,5.44971,5.135,5.46909,5.39295,5.0673,2.37,0.85,0.98,1.48,2.37,3.46,4.61,2.37,2.37,2.37,2.36,3.07,2.76,2.52,2.37,1.2000000000000002
1.3,428.52,12.115,5.31459,5.3194,5.39482,5.38541,5.0584,5.47093,5.45114,5.1387,5.47484,5.39673,5.0704,2.34,0.79,0.94,1.43,2.34,3.45,4.6,2.34,2.34,2.34,2.34,2.97,2.73,2.51,2.29,1.0399999999999998
1.15,427.48,12.332,5.31899,5.31995,5.3955,5.3864,5.0627,5.46727,5.45224,5.1422,5.46626,5.39987,5.0732,2.32,0.74,0.9,1.41,2.32,3.44,4.58,2.32,2.33,2.32,2.32,2.91,2.66,2.46,2.28,1.17
1.03,427.31,12.264,5.32408,5.32048,5.38815,5.38714,5.0672,5.4526,5.45272,5.146,5.43368,5.40131,5.0764,2.31,0.69,0.86,1.36,2.31,3.43,4.57,2.31,2.31,2.31,2.31,2.85,2.59,2.41,2.27,1.28
0.69,421.59,13.194,5.32751,5.32092,5.41429,5.38842,5.0717,5.48573,5.454,5.1499,5.47767,5.40381,5.08,2.3,0.66,0.82,1.33,2.3,3.42,4.56,2.3,2.31,2.3,2.3,2.77,2.53,2.36,2.3,1.6099999999999999
