Date,SPY US 11/17/23 P455 Equity,SPY US Equity,Implied Vol,TSFR1M Index - SOFR 1M,SMAVG (50) - 1M,SMAVG (100) -1M,SMAVG (200) - 1M,TSFR3M Index - SOFR 3M,SMAVG (50) -3M,SMAVG (100) - 3M,SMAVG (200) - 3M,TSFR6M Index - SOFR 6M,SMAVG (50) - 6M,SMAVG (100) -6M,SMAVG (200) - 6M,TSFR12M Index - SOFR 12M,SMAVG (50) -12M,SMAVG (100) -12M,SMAVG (200) -12M
9/6/23,13.42,451.01,12.475,5.32968,5.2543,5.15292,4.81859,5.4096,5.33697,5.23362,4.95731,5.47527,5.41343,5.27167,5.05861,5.41867,5.35566,5.12674,5.01292
9/7/23,14.39,450.35,12.403,5.32741,5.25919,5.15764,4.82617,5.40122,5.34041,5.23804,4.96319,5.4549,5.4163,5.27687,5.06325,5.37066,5.35808,5.13345,5.01617
9/8/23,13.97,451.19,11.906,5.32887,5.26399,5.16217,4.8335,5.4023,5.34353,5.2423,4.96897,5.45324,5.41867,5.28169,5.06772,5.36866,5.35996,5.13961,5.01909
9/11/23,11.75,449.24,11.833,5.32762,5.26887,5.16663,4.84076,5.39108,5.34658,5.24631,4.97458,5.43212,5.42073,5.28615,5.07215,5.32571,5.36081,5.14521,5.02198
9/12/23,13.22,446.22,11.91,5.32684,5.27366,5.171,4.84785,5.39773,5.34984,5.25043,4.98014,5.45272,5.42338,5.29108,5.07654,5.38895,5.36343,5.15194,5.02505
9/13/23,13.1,444.85,11.918,5.32933,5.27814,5.17537,4.85483,5.41099,5.35327,5.25472,4.9857,5.47601,5.42641,5.29641,5.0809,5.43272,5.36682,5.15943,5.02802
9/14/23,9.81,445.52,11.794,5.32946,5.28268,5.17949,4.86173,5.41047,5.35665,5.25854,4.99115,5.47197,5.42912,5.30091,5.08513,5.42392,5.36931,5.16568,5.03082
9/15/23,13.4,448.45,11.407,5.32833,5.28698,5.18339,4.86828,5.40525,5.35982,5.26211,4.99638,5.46285,5.43146,5.30486,5.08916,5.40359,5.3714,5.17101,5.03332
9/18/23,13.39,445.99,11.555,5.33356,5.29084,5.18726,4.87467,5.40822,5.36261,5.26564,5.00145,5.47121,5.43307,5.30879,5.09302,5.42131,5.37189,5.1764,5.03581
9/19/23,13.73,446.51,11.362,5.3322,5.29463,5.19094,4.88092,5.40943,5.36543,5.26903,5.00645,5.4735,5.43492,5.31253,5.09682,5.43164,5.37309,5.18143,5.03831
9/20/23,17.39,450.36,11.245,5.33057,5.29834,5.19454,4.88714,5.41009,5.36809,5.27245,5.0115,5.47767,5.43684,5.31642,5.10073,5.43665,5.37412,5.18698,5.04093
9/21/23,23.64,443.37,11.198,5.32708,5.30158,5.19804,4.89316,5.40168,5.37051,5.27579,5.01649,5.46584,5.43853,5.3202,5.1046,5.42144,5.37499,5.19242,5.04358
9/22/23,24.3,443.63,11.274,5.32484,5.30454,5.20132,4.89914,5.39785,5.3725,5.27898,5.02142,5.46606,5.43955,5.32395,5.10845,5.44294,5.37476,5.19822,5.04631
9/25/23,22.83,442.71,11.291,5.32409,5.30715,5.20474,4.90485,5.39702,5.37445,5.28249,5.02615,5.46857,5.44085,5.32836,5.11218,5.45434,5.37568,5.20531,5.04898
9/26/23,27.7,438.64,11.33,5.32345,5.30969,5.20804,4.91053,5.39613,5.37635,5.28602,5.03097,5.46905,5.44218,5.33284,5.11617,5.45886,5.37715,5.21264,5.0522
9/27/23,29.61,431.39,11.967,5.31972,5.31204,5.21105,4.91604,5.40009,5.37813,5.28921,5.03572,5.47283,5.44342,5.33677,5.12006,5.46596,5.3788,5.21921,5.05532
9/28/23,26.61,430.42,12.059,5.31751,5.31395,5.21389,4.9215,5.39981,5.37997,5.29231,5.04042,5.47951,5.44515,5.34068,5.12386,5.48563,5.38198,5.2258,5.05832
9/29/23,27.38,432.23,11.872,5.31745,5.3157,5.2166,4.92692,5.39112,5.38159,5.29511,5.04503,5.46926,5.44703,5.34415,5.12757,5.46688,5.38624,5.23161,5.06118
10/2/23,27.57,425.88,12.895,5.31843,5.31715,5.21938,4.9321,5.38558,5.3829,5.29837,5.0495,5.46327,5.44837,5.34852,5.13129,5.45973,5.38958,5.23869,5.06426
10/3/23,33.22,426.05,12.534,5.31608,5.31838,5.22211,4.93719,5.39008,5.38418,5.30155,5.05397,5.46749,5.44971,5.35291,5.135,5.46909,5.39295,5.2462,5.06733
10/4/23,30.67,428.52,12.115,5.31459,5.3194,5.22475,4.94218,5.39482,5.38541,5.30511,5.05841,5.47093,5.45114,5.35816,5.13866,5.47484,5.39673,5.25541,5.07035
10/5/23,30.84,427.48,12.332,5.31899,5.31995,5.22739,4.94709,5.3955,5.3864,5.30834,5.06274,5.46727,5.45224,5.36273,5.14218,5.46626,5.39987,5.26356,5.07317
10/6/23,24.19,427.31,12.264,5.32408,5.32048,5.23009,4.95208,5.38815,5.38714,5.31138,5.06719,5.4526,5.45272,5.36695,5.14598,5.43368,5.40131,5.2709,5.07643
10/9/23,22.42,421.59,13.194,5.32751,5.32092,5.2328,4.9571,5.41429,5.38842,5.31454,5.07172,5.48573,5.454,5.3713,5.14994,5.47767,5.40381,5.27834,5.07996
10/10/23,20.21,424.66,12.83,5.3304,5.32122,5.23551,4.96215,5.4224,5.38972,5.3179,5.0763,5.49332,5.45525,5.37601,5.15385,5.48366,5.40622,5.28646,5.08332
10/11/23,19.96,424.5,12.608,5.33598,5.32159,5.2383,4.96722,5.4062,5.39053,5.3213,5.08079,5.46263,5.45559,5.38078,5.15767,5.42975,5.40686,5.29474,5.08652
10/12/23,21.07,429.54,12.824,5.34107,5.32204,5.24104,4.97232,5.40674,5.39128,5.32447,5.08521,5.45446,5.45563,5.38504,5.16137,5.39656,5.40674,5.30189,5.08954
10/13/23,24,432.29,12.622,5.34492,5.32235,5.24245,4.97489,5.41626,5.39182,5.32611,5.08745,5.46943,5.45599,5.38725,5.16326,5.42115,5.40712,5.30560,5.09112
10/16/23,18.53,434.54,12.384,5.34877,5.32265,5.24386,4.97745,5.42577,5.39236,5.32775,5.08968,5.48439,5.45635,5.38946,5.16514,5.44574,5.4075,5.30931,5.09269
